Job ID;Internal ID;Task ID;Project ID;Source;Target;Created;Created by;Job due date;Project due date;File;Extension;Workflow;Workflow level;Job status;Job status changed;Project status;Project status changed;Linguist;Vendor;Wordcount;Currency;Rate;Price;Owner;Client;Domain;Subdomain;Cost Center
24693285;1;OLllDAmgob4uatzl_dc2;700945;en;de;2.11.2015 11:35;VasekB;;7.11.2015 9:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
24693286;2;4PllDAmgobkuatzl_dc2;700945;en;de;2.11.2015 11:35;VasekB;;7.11.2015 9:00;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24703488;1;I3I0D2AoIbD8BW6H0_dc2;700996;en;de;2.11.2015 12:09;VasekB;;19.11.2015 4:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
24703489;2;K3I0D2AoIbD8BW6H0_dc2;700996;en;de;2.11.2015 12:09;VasekB;;19.11.2015 4:00;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24724622;1;Z3g3j1AoIbDI5Y6H0_dc2;701358;en;de;2.11.2015 15:35;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
24724623;2;Y3g3j1AoIbDI5Y6H0_dc2;701358;en;de;2.11.2015 15:35;VasekB;;;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24817953;1;lbvADAmgobQMLxzl_dc2;702253;en;de;3.11.2015 8:26;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
24817954;2;pbEdj1AoIbDxv37H0_dc2;702253;en;de;3.11.2015 8:26;VasekB;;;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24818039;1;fRqASqidcKiCMxzl_dc2;702257;en;de;3.11.2015 8:30;VasekB;;;charter - english-import.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
24818040;2;iRqASqidcKiCMxzl_dc2;702257;en;de;3.11.2015 8:30;VasekB;;;charter - english-version2.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24951417;1;sz4wj1AoIb75D77H0_dc2;703215;en;de;3.11.2015 17:48;VasekB;;;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
24951418;2;Oz4wj1AoIbD5D77H0_dc2;703215;en;de;3.11.2015 17:48;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25050814;1;Zx8EaBgdcKieeLzl_dc2;706541;en;de;5.11.2015 21:46;VasekB;;;charter - english-import.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25050860;2;L5HC0sxoIb7tsu7H0_dc2;706541;en;de;5.11.2015 21:46;VasekB;;;charter - english-version2.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
25057790;5.I;RMrEaBgdcK2emLzl_dc2;701320;en;de;5.11.2015 22:21;VasekB;;;charter - english-import.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;199;EUR;0.05;IX.95;VasekB;;;;
25171860;1;4hZP0sxoIbD5EB7H0_dc2;707731;en;de;6.11.2015 14:07;VasekB;;12.11.2015 1:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25171861;2;CbwelLggobQ2QOzl_dc2;707731;en;de;6.11.2015 14:07;VasekB;;12.11.2015 1:00;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
25171862;3;5cwelLggob43QOzl_dc2;707731;en;de;6.11.2015 14:07;VasekB;;12.11.2015 1:00;charter - english-formatting.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;539;EUR;0.05;26.95;VasekB;;;;
25198941;1;fLPqlLggob4HkQzl_dc2;708224;en;de;6.11.2015 20:59;VasekB;;;charter - english-import.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25393055;1;GLGQlLggobQBjUzl_dc2;708783;en;de;7.11.2015 15:07;VasekB;;;charter - english-import.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25393060;3;OxHQlLggobkCjUzl_dc2;708783;en;de;7.11.2015 15:07;VasekB;;;charter - english-version2.docx;docx;Translation;1;NEW;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
25725211;1;R0wk1U2NoneW4Qgm1_dc2;714812;en;de;11.11.2015 13:23;VasekB;;14.11.2015 5:00;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25725213;3;vB50GuxwMm8u2q8H0_dc2;714812;en;de;11.11.2015 13:23;VasekB;;14.11.2015 5:00;charter - english-version2.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
25166328;5;hduclLggobQ4MOzl_dc2;703192;en;fr;6.11.2015 13:50;VasekB;;;charter - english-import.docx;docx;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;543;EUR;0;0;VasekB;;;;
25892831;1;nBX6ZajdcK2xdCAl_dc2;720850;en;de;16.11.2015 8:02;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
25892833;3;sBX6ZajdcK2xdCAl_dc2;720850;en;de;16.11.2015 8:02;VasekB;;;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
26044274;9;2i6gg7ngob4Y1B9H0_dc2;703192;en;ru;18.11.2015 18:14;VasekB;;;Book1.xlsx;xlsx;Translation;1;EMAILED;;NEW;;Vasek_translator;;10;EUR;0;0;VasekB;;;;
26057708;1;Sbo72khcSBjppTAl_dc2;727606;en;de;19.11.2015 14:15;VasekB;;;index.html;html;Translation;1;ASSIGNED;;NEW;;Vasek_translator;;528;EUR;0.05;26.IV;VasekB;;;;
26057710;3;wb4rg7ngobkppTAl_dc2;727606;en;de;19.11.2015 14:15;VasekB;;;charter - english-import.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;543;EUR;0.05;27.15;VasekB;;;;
26058539;5;8WW72khcSBPMxTAl_dc2;727606;en;de;19.11.2015 14:50;VasekB;;;text.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;11;EUR;0.05;0.55;VasekB;;;;
26083569;1;DcGB2khcSBP30T9H0_dc2;729066;en;de;20.11.2015 11:03;VasekB;;;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
26236657;1;8OwVZajdcK2RWdBl_dc2;733496;en;de;23.11.2015 20:45;VasekB;;;charter - english-source.docx;docx;Translation;1;EMAILED;;NEW;;Vasek_translator;;125;EUR;0.05;VI.25;VasekB;;;;
26236696;2;XmzVZajdcKy9ZdBl_dc2;733496;en;de;23.11.2015 20:55;VasekB;;;Book1.xlsx;xlsx;Translation;1;EMAILED;;NEW;;Vasek_translator;;9;EUR;0.05;0.45;VasekB;;;;
26253668;2.I;9CykzHmgobQePhBl_dc2;734854;en;de;24.11.2015 14:25;VasekB;;;charter - english-source.docx;docx;Translation;1;COMPLETED_BY_LINGUIST;;NEW;;Vasek_translator;;62;EUR;0.05;3.I;VasekB;ABC client;Automotive;Technical Writing;
